,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
126,letter,Remasker,MCAR,0.5,1.1218817279078777,0.0512518031100718,,
127,letter,Remasker,MCAR,0.75,1.1092349254909972,0.0038604257626019,,
128,letter,Remasker,MNAR,0.25,0.694720999786492,0.1122262970773124,,
129,letter,Remasker,MNAR,0.5,1.136773017352351,0.0431253536619632,,
130,letter,Remasker,MNAR,0.75,1.0993838983890716,0.0147550536828132,,
131,magic,Remasker,MAR,0.25,0.8099315676463039,0.1122152877242197,,
132,magic,Remasker,MAR,0.5,0.7688497448979811,0.0763080315587118,,
133,magic,Remasker,MAR,0.75,1.2977932193640274,0.0978198863788943,,
134,magic,Remasker,MCAR,0.25,1.7037716827921057,1.2989167953782337,,
135,magic,Remasker,MCAR,0.5,4.372952249615653,0.0162121453909367,,
136,magic,Remasker,MCAR,0.75,4.380330120247691,0.015628350810287,,
137,magic,Remasker,MNAR,0.25,1.0892627496381275,0.0903772812753048,,
138,magic,Remasker,MNAR,0.5,4.345419138377198,0.1473126684584863,,
139,magic,Remasker,MNAR,0.75,4.327677846990264,0.0617325952459438,,
140,news,Remasker,MAR,0.25,187.32509531819355,181.59676001854453,35.14909845946397,5.058703109582094
141,news,Remasker,MAR,0.5,145.9163751108801,126.38132955717067,25.759078954717666,4.011368390071661
142,news,Remasker,MAR,0.75,149.7588485682679,41.14101797239544,15.890180713426332,0.7443972458672041
143,news,Remasker,MCAR,0.25,64.9315828094689,81.43866469634534,31.5196512701898,0.4633278886320979
144,news,Remasker,MCAR,0.5,119.62115524037225,86.08548419331093,20.34423408067199,0.2228552178911625
145,news,Remasker,MCAR,0.75,132.53195878383582,65.78752123938771,14.425304143027969,0.394718307115218
146,news,Remasker,MNAR,0.25,142.08520680699934,125.00386035109246,30.46995830309445,2.0584234782718083
147,news,Remasker,MNAR,0.5,157.98396820653255,103.40525068787407,20.172368879133,0.6850903665865419
148,news,Remasker,MNAR,0.75,155.06379794335174,60.65934147466022,14.789090478621684,0.69221907016554
149,shoppers,Remasker,MAR,0.25,0.7205798320127721,0.1183834959393712,39.82606592720613,6.073047874076625
150,shoppers,Remasker,MAR,0.5,0.8167297516031542,0.101364783767121,38.44236907446043,6.2657433312695545
151,shoppers,Remasker,MAR,0.75,1.1699264823547069,0.0273414299965573,44.15148042657025,5.786547959696527
152,shoppers,Remasker,MCAR,0.25,0.859177006601532,0.1083904185512372,42.187067086387785,0.3445898906730748
153,shoppers,Remasker,MCAR,0.5,1.2286373486612725,0.0394136465415813,43.75635686767946,1.0002883026017242
154,shoppers,Remasker,MCAR,0.75,1.1262735780825572,0.0124045852709488,46.59006210432492,0.0891070175367617
155,shoppers,Remasker,MNAR,0.25,0.9024568475712264,0.1319837811681458,42.01358620672516,0.9971119512048908
156,shoppers,Remasker,MNAR,0.5,1.180453204560301,0.0293062422253612,44.29108415066359,1.6544922891273883
157,shoppers,Remasker,MNAR,0.75,1.132631685583242,0.0172729138869021,46.334938764633904,0.1573613508047839
158,adult,GAIN,MAR,0.25,1.862996051571996,0.0417408868460045,22.11284805871973,6.974775786561508
159,adult,GAIN,MAR,0.5,3.3704672010222545,0.2072104882717182,21.850755340102133,8.008087288223084
160,adult,GAIN,MAR,0.75,7.438991511866443,0.2104288752117697,22.41309320653616,1.4466053375120564
161,adult,GAIN,MCAR,0.25,1.7658466684901728,0.0439572142169095,20.76856986508199,0.2147834244802906
